name,address,sentiment_compound,n_reviews_scored,pct_positive
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",0.903,5.0,1.0
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",0.907,5.0,1.0
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",0.893,4.0,1.0
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",0.893,4.0,1.0
12th Main - Grand Mercure,"Grand Mercure, 12th Main, 3rd Block, Koramangala 3rd Block, Bangalore",0.913,5.0,1.0
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.818,25.0,0.96
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.902,125.0,0.992
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.86,49.0,0.98
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.916,180.0,0.994
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.906,99.0,0.99
1441 Pizzeria,"1105, Archana Arcade, 24th Main, 1st Phase, JP Nagar, Bangalore",0.88,58.0,0.983
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",0.719,10.0,0.8
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",0.719,10.0,0.8
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",0.757,12.0,0.833
1522 - The Pub,"1522, 17th Cross, Malleshwaram, Bangalore",0.757,12.0,0.833
1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore",0.818,78.0,0.987
1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore",0.805,70.0,0.986
1522 - The Pub,"23, 3rd Floor, Devaraja Arcade, Beside ICICI Bank, ITI Layout, MSR Nagar, New BEL Road, Bangalore",0.814,61.0,1.0
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.831,85.0,0.988
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.842,67.0,0.985
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.845,71.0,0.986
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.845,76.0,0.987
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.84,117.0,0.991
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.846,22.0,0.955
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.832,93.0,0.989
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.839,156.0,0.994
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.837,171.0,0.994
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.845,105.0,0.99
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.845,79.0,0.987
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.864,64.0,0.984
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.846,114.0,0.991
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",0.823,141.0,0.993
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.6,90.0,0.811
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.607,21.0,0.857
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.61,101.0,0.822
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.63,113.0,0.823
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.618,145.0,0.814
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.597,107.0,0.804
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.561,259.0,0.803
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.772,8.0,1.0
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.683,190.0,0.868
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.56,75.0,0.813
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.611,121.0,0.86
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.667,183.0,0.863
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.668,177.0,0.87
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.67,134.0,0.843
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.629,89.0,0.82
154 Breakfast Club,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",0.606,197.0,0.817
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.801,73.0,0.932
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.832,145.0,0.938
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.881,184.0,0.967
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.807,108.0,0.926
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.83,131.0,0.939
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.847,161.0,0.95
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.858,88.0,0.966
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.891,153.0,0.98
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.775,35.0,0.943
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.863,114.0,0.974
1722 Urban Bistro,"AJ Inc, 126, Ground Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.829,57.0,0.947
18+ Ice Cafe,"408, 2nd Floor, 2nd Block, Opposite Kotak Mahindra Bank, HRBR Layout, Kammanahalli, Bangalore",0.156,9.0,0.556
18+ Ice Cafe,"408, 2nd Floor, 2nd Block, Opposite Kotak Mahindra Bank, HRBR Layout, Kammanahalli, Bangalore",0.156,9.0,0.556
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",0.916,6.0,1.0
1947,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",0.917,6.0,1.0
1947,"5, 4th Floor, Above GIRIAS, 15th Cross, Malleshwaram, Bangalore",0.657,13.0,0.923
1947,"5, Ground Floor, Number 2, First Main, Industrial Town, West of Chord Road, Rajajinagar, Bangalore",0.884,6.0,1.0
1947,"5, Ground Floor, Number 2, First Main, Industrial Town, West of Chord Road, Rajajinagar, Bangalore",0.884,6.0,1.0
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.778,40.0,0.975
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.692,29.0,0.897
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.778,25.0,0.96
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.619,44.0,0.864
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.602,89.0,0.854
1947,"62, The High Street Building, 5th Floor, 4T Block, Opposite Vijaya College, Jayanagar, Bangalore",0.694,59.0,0.898
1980s Games Cafe,"63, 1st Floor, Kanakapura Road, Basavanagudi, Bangalore",0.852,3.0,1.0
1992 Chats - Space,"484, 11th Cross, 6th Main, Nagpura Main Road, Mahalakshmi Puram, Rajajinagar, Bangalore",0.652,14.0,0.857
1992 Chats - Space,"484, 11th Cross, 6th Main, Nagpura Main Road, Mahalakshmi Puram, Rajajinagar, Bangalore",0.652,14.0,0.857
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.85,109.0,0.991
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.861,115.0,0.991
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.866,95.0,0.989
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.846,57.0,0.982
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.864,120.0,0.992
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.866,73.0,0.986
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.86,60.0,0.983
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.873,77.0,0.987
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.851,60.0,0.983
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.866,84.0,0.988
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.849,32.0,0.969
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.875,98.0,0.99
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.88,105.0,0.99
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.878,139.0,0.993
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.88,114.0,0.991
1Q1,"1, Express Building, Queens Road, Infantry Road, Bangalore",0.881,54.0,0.981
1TO3 Kitchen,"Kadubeesanahalli, Opposite JP Morgan, Marathahalli, Bangalore",0.417,4.0,0.75
2 Statez,"7th Main Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",0.561,4.0,0.75
2 Statez,"7th Main Road, 1st Block, HRBR Layout, Kalyan Nagar, Bangalore",0.592,4.0,0.75
20 Char - Sterlings MAC Hotel,"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",0.583,4.0,0.75
20 Char - Sterlings MAC Hotel,"Sterling Mac Hotel, 134, HAL Old Airport Road, Old Airport Road, Bangalore",0.462,3.0,0.667
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.74,14.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.763,16.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.777,12.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.763,11.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.777,17.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.79,13.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.795,12.0,1.0
20 Feet High,"22, Amoeba Complex, Church Street, Bangalore",0.783,11.0,1.0
21 C - La Marvella Sarovar Premiere Hotel,"La Marvella Hotel, 1, 14th Cross, South End Circle, 2nd Block, Jayanagar, Bangalore",0.95,7.0,1.0
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.276,52.0,0.654
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.28,20.0,0.65
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.274,25.0,0.64
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.27,30.0,0.633
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.265,40.0,0.625
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.277,70.0,0.657
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.264,59.0,0.627
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.28,20.0,0.65
24 Carats - The Capitol,"The Capitol, 3, Raj Bhavan Road, Near Cunningham Road, Cunningham Road, Bangalore",0.274,25.0,0.64
24 Hours Cake Delivery,"35/2, Service Road, Phase 2, Electronic City, Bangalore",-0.382,1.0,0.0
24 Hours Cake Delivery,"Shop 1, ATR Complex, Old Airport Road, Bangalore",0.46,1.0,1.0
24 Hours Coffee Drop - La Classic,"158, Hotel La Classic, Yedavanahalli, Attibele, Near Electronic City, Electronic City, Bangalore",0.956,3.0,1.0
24/7 - The Lalit Ashok Bangalore,"The Lalit Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",-0.204,4.0,0.25
24/7 - The Lalit Ashok Bangalore,"The Lalit Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",-0.204,4.0,0.25
24/7 Food Service,"21/22, Saifee Apartment, 5th Cross, 22nd Main Road, Near Rizwan Mazjid, Vinayaka Nagar, 5th Phase, JP Nagar, Bangalore",0.289,3.0,1.0
24/7 Food Service,"21/22, Saifee Apartment, 5th Cross, 22nd Main Road, Near Rizwan Mazjid, Vinayaka Nagar, 5th Phase, JP Nagar, Bangalore",0.36,3.0,1.0
24@43 - The Oterra,"The Oterra, 43, Phase 1, Electronic City, Bangalore",0.952,3.0,1.0
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",0.757,12.0,0.917
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",0.746,11.0,0.909
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",0.7,11.0,0.909
24th Main,"Cross Roads Inn, 827, Near RV Dental College Compound, 24th Main, 12th Cross, JP Nagar, Bangalore",0.764,12.0,0.917
29 Degrees North,"62 Ramamurthy Nagar Main Road, Banaswadi (Next to Indian Bank) Bangalore",0.944,3.0,1.0
29 Degrees North,"62 Ramamurthy Nagar Main Road, Banaswadi (Next to Indian Bank) Bangalore",0.946,3.0,1.0
2nd Home Restaurant,"16/1, 33rd Main Road, 1st Stage, BTM, Bangalore",0.84,13.0,0.923
2nd Home Restaurant,"16/1, 33rd Main Road, 1st Stage, BTM, Bangalore",0.841,13.0,0.923
3 Leafs,"158, Vignana Nagara Main Road, Kaggadasapura, Bangalore",0.899,3.0,1.0
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",0.515,319.0,0.762
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",0.583,344.0,0.826
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",0.548,242.0,0.798
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",0.59,268.0,0.825
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",0.765,1.0,1.0
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.151,60.0,0.567
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.486,66.0,0.773
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.499,38.0,0.789
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.451,46.0,0.761
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.43,76.0,0.75
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.494,111.0,0.784
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.473,23.0,0.783
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.442,48.0,0.75
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.417,38.0,0.737
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.493,33.0,0.788
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",0.493,33.0,0.788
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",0.813,4.0,1.0
36th Cross Coffee Mane,"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",0.57,4.0,0.75
36th Cross Coffee Mane,"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",0.647,5.0,0.8
36th Cross Coffee Mane,"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",0.627,19.0,0.842
37 China Town,"Hotel 37th Crescent, 37, Crescent Road, High Grounds, Race Course Road, Bangalore",0.331,24.0,0.708
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.459,27.0,0.741
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.469,15.0,0.733
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.46,23.0,0.739
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.452,47.0,0.745
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.436,14.0,0.714
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.554,19.0,0.789
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.613,23.0,0.826
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.654,27.0,0.852
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.237,7.0,0.571
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.409,13.0,0.692
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",0.65,19.0,0.842
"3B's - Buddies, Bar & Barbecues","Rooftop, 90/4, Above AB's, Near Park Plaza Hotel, Outer Ring Road, Marathahalli, Bangalore",0.897,16.0,1.0
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.778,72.0,0.944
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.801,25.0,0.96
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.653,52.0,0.846
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.732,32.0,0.906
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.739,22.0,0.909
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.814,35.0,0.971
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.821,45.0,0.978
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",0.758,17.0,0.941
3rd Innings,"2/7, Opposite BMW Navnit Motors, Beratana Agrahara Village, Hosur Main Road, Electronic City, Bangalore",0.333,6.0,0.667
4 Mangoes,"34, SVB Complex, Opposite Top In Town, Old Airport Road, Bangalore",0.938,1.0,1.0
4 Seasons Restaurant,"1st Floor, Lamcy Plaza, Opposite Tanishq Showrrom, HRBR, 2nd Block, Kalyan Nagar, Bangalore",0.047,2.0,0.5
4 States,"The Bay, Campus 8A, RMZ Ecoworld, Bellandur, Bangalore",0.754,2.0,1.0
4-States,"RMZ Ecoworld Road, Adarsh Palm Retreat, Bellandur, Bangalore",0.531,2.0,1.0
46 Ounces Brewgarden,"43, Phase 1, Electronic City, Bangalore",0.596,3.0,1.0
4700BC Popcorn,"Second Floor, Phoenix Market City, Whitefield, Bangalore",0.966,2.0,1.0
4Foodiez,"11, Smondoville Neotown Road, Phase-1, Electronic City, Bangalore",0.925,1.0,1.0
4Foodiez - The Restaurant,"7, Smondo Ville 03, Neotown, Electronic City Phase 1, Electronic City, Bangalore",0.481,16.0,0.75
4S Bar,"107/2, 80 Feet Road, Koramangala 4th Block, Bangalore",0.369,1.0,1.0
4th Tea Block,"524, 10th Main, 4th Block, Jayanagar, Bangalore",0.872,4.0,1.0
5 Degree Centigrade,"Food Court, Forum Mall, Koramangala 7th Block, Bangalore",0.595,2.0,1.0
5 Degree Centigrade,"Food Court, Forum Mall, Koramangala 7th Block, Bangalore",0.595,2.0,1.0
5 Degree Centigrade,"Food Court, Forum Mall, Koramangala 7th Block, Bangalore",0.595,2.0,1.0
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.692,24.0,0.917
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.646,28.0,0.857
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.706,29.0,0.931
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.746,16.0,0.938
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.713,20.0,0.9
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.654,36.0,0.833
52 Wall Street,"Nandhana Grand Hotel, 52, 6th Cross, 5th Main, 60 Feet Road, Koramangala 6th Block, Bangalore",0.616,80.0,0.8
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.585,110.0,0.827
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.613,51.0,0.824
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.61,40.0,0.825
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.596,55.0,0.818
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.599,88.0,0.83
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.638,63.0,0.841
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.648,66.0,0.848
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",0.619,140.0,0.829
